Ref,Val,Package,PosX,PosY,Rot,Side
"DU_3_10","1N4148W","D_SOD-123",-218.948000,-49.784000,-90.000000,bottom
"DU_3_11","1N4148W","D_SOD-123",-240.538000,-49.784000,-90.000000,bottom
"DU_3_12","1N4148W","D_SOD-123",-259.588000,-49.784000,-90.000000,bottom
"DU_3_13","1N4148W","D_SOD-123",-284.937200,-46.075600,-90.000000,bottom
"DU_3_14","1N4148W","D_SOD-123",-306.705000,-46.355000,-90.000000,bottom
"DU_4_1","1N4148W","D_SOD-123",-40.082200,-66.497200,180.000000,bottom
"DU_4_2","1N4148W","D_SOD-123",-56.388000,-68.072000,-90.000000,bottom
"DU_4_3","1N4148W","D_SOD-123",-80.772000,-71.628000,-90.000000,bottom
"DU_4_5","1N4148W","D_SOD-123",-102.616000,-73.152000,-90.000000,bottom
"DU_4_8","1N4148W","D_SOD-123",-170.688000,-75.184000,-90.000000,bottom
"DU_4_10","1N4148W","D_SOD-123",-219.710000,-68.580000,-90.000000,bottom
"DU_4_11","1N4148W","D_SOD-123",-244.094000,-68.580000,-90.000000,bottom
"F1","TLC-PSMD050","Fuse_0805_2012Metric",-143.646171,-4.979020,90.000000,bottom
"R1","22Ω","R_0603_1608Metric",-141.249400,-11.226700,90.000000,bottom
"R2","22Ω","R_0603_1608Metric",-139.344400,-11.226800,90.000000,bottom
"R3","5k1Ω","R_0603_1608Metric",-132.891075,-1.868217,90.000000,bottom
"R4","5k1Ω","R_0603_1608Metric",-148.539200,-1.854200,90.000000,bottom
"R5","1MΩ","R_0603_1608Metric",-152.501600,-0.279400,90.000000,bottom
"R6","10kΩ","R_0603_1608Metric",-134.683500,-36.131500,-135.000000,bottom
"R7","10kΩ","R_0603_1608Metric",-127.190500,-28.194000,-135.000000,bottom
"R8","470Ω","R_0603_1608Metric",-246.380000,-77.774800,0.000000,bottom
"SW1","TS-1187A-B-A-B","TS-1187A-B-A-B",-148.056600,-49.199800,90.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",-136.000000,-25.000000,-135.000000,bottom
"U2","USBLC6-2SC6","SOT95P280X145-6N",-140.385800,-6.934200,0.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",-140.268500,6.750000,0.000000,bottom
"Y1","Crystal_GND24_Small","SMD3225",-143.306800,-34.163000,90.000000,bottom
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",252.912500,-76.200000,180.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",262.912500,-76.200000,180.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",272.912500,-76.200000,180.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",27.660000,-76.200000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",17.660000,-76.200000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",7.660000,-76.200000,0.000000,top
